1;1;\N;1;1;Primary 1;E;10;\N;\N
1;1;\N;1;1;Primary 2;;10;\N;\N
1;1;\N;1;1;Primary 3;;10;\N;\N
1;1;\N;1;1;Primary 4;;10;\N;\N
1;1;\N;1;1;Primary 5;;10;\N;\N
1;1;\N;1;1;Primary 6;;10;\N;\N
1;1;\N;1;1;Pre-Primary;1;9;\N;\N
1;1;\N;1;1;KG 2;;9;\N;\N
1;1;\N;1;1;KG 3 Upper;;9;\N;\N
1;1;\N;1;1;KG 3 Lower;;9;\N;\N
1;1;\N;1;1;Reception 1;;9;\N;\N
1;1;\N;1;1;Reception 2;;9;\N;\N
1;1;\N;1;1;I;;3;\N;\N
1;1;\N;1;1;II;;3;\N;\N
1;1;\N;1;1;III;;3;\N;\N
1;1;\N;1;1;IV;;3;\N;\N
1;1;\N;1;1;V;;3;\N;\N
1;1;\N;1;1;VI;;3;\N;\N
1;1;\N;1;1;VII;;3;\N;\N
1;1;\N;1;1;Grade 1;;4;\N;\N
1;1;\N;1;1;Grade 2;;4;\N;\N
1;1;\N;1;1;Grade 3;;4;\N;\N
1;1;\N;1;1;Grade 4;;4;\N;\N
1;1;\N;1;1;Grade 5;;4;\N;\N
1;1;\N;1;1;Class 7;A;11;\N;\N
1;1;\N;1;1;Class 7;B;11;\N;\N
1;1;\N;1;1;Class 7;C;11;\N;\N
1;1;\N;1;1;Class 8;A;11;\N;\N
1;1;\N;1;1;Class 8;B;11;\N;\N
1;1;\N;1;1;Class 8;C;11;\N;\N
1;1;\N;1;1;Class 9;A;11;\N;\N
1;1;\N;1;1;Class 9;B;11;\N;\N
1;1;\N;1;1;Class 9;C;11;\N;\N
1;1;\N;1;1;Class 10;A;11;\N;\N
1;1;\N;1;1;Class 10;B;11;\N;\N
1;1;\N;1;1;Primary 1;R;10;\N;\N
1;1;\N;1;1;Classroom X;NULL;12;\N;\N
1;1;\N;1;1;Classroom II;NULL;12;\N;\N
1;1;\N;1;1;Classroom III;NULL;12;\N;\N
1;1;\N;1;1;Classroom IV;NULL;12;\N;\N
1;1;\N;1;1;Classroom V;;12;\N;\N
1;1;\N;1;1;3;A;13;\N;\N
1;1;\N;1;1;3;B;13;\N;\N
1;1;\N;1;1;3;C;13;\N;\N
1;1;\N;1;1;KG 1;A;13;\N;\N
1;1;\N;1;1;JoyFul 1;Nursery;14;\N;\N
1;1;\N;1;1;JoyFul 2;LKG;14;\N;\N
1;1;\N;1;1;JoyFul 3;UKG;14;\N;\N
1;1;\N;1;1;1;A;14;\N;\N
1;1;\N;1;1;2;A;14;\N;\N
1;1;\N;1;1;3;A;14;\N;\N
1;1;\N;1;1;3;B;14;\N;\N
1;1;\N;1;1;4;A;14;\N;\N
1;1;\N;1;1;4;B;14;\N;\N
1;1;\N;1;1;5;A;14;\N;\N
1;1;\N;1;1;5;B;14;\N;\N
1;1;\N;1;1;6;A;14;\N;\N
1;1;\N;1;1;6;B;14;\N;\N
1;1;\N;1;1;7;A;14;\N;\N
1;1;\N;1;1;7;B;14;\N;\N
1;1;\N;1;1;8;A;14;\N;\N
1;1;\N;1;1;8;B;14;\N;\N
1;1;\N;1;1;9;A;14;\N;\N
1;1;\N;1;1;9;B;14;\N;\N
1;1;\N;1;1;10;A;14;\N;\N
1;1;\N;1;1;10;B;14;\N;\N
1;1;\N;1;1;Pre KG;A;15;\N;\N
1;1;\N;1;1;KG 1;A;15;\N;\N
1;1;\N;1;1;KG 1;B;15;\N;\N
1;1;\N;1;1;KG 1;C;15;\N;\N
1;1;\N;1;1;KG 2;A;15;\N;\N
1;1;\N;1;1;KG 2;B;15;\N;\N
1;1;\N;1;1;KG 2;C;15;\N;\N
1;1;\N;1;1;KG 2;D;15;\N;\N
